,sentence,label
0,Total runs scored by SC Ganguly in match 5?,runs
1,SC Ganguly score in match 1?,runs
2,how many runs did Ganguly score in match 2?,runs
3,Sachin's score in 4th match?,runs
4,how much did McCullum scored in match 3?,runs
5,how much did McCullum scored in match 4?,runs
6,McCullum runs in match 3?,runs
7,Dravid's runs in match 2?,runs
8,Dravid's score in match 5?,runs
9,How much did RCB Score in Match 1?,runs
10,RCB Score in match 1?,runs
11,RCB runs in match 1,runs
12,total score of DD in 3rd match,runs
13,totals runs of Deccan in 8th match,runs
14,final score of DD in 3rd match,runs
15,Rahul maximum score in match 3,max_runs
16,who was the leading run scorer in match 9,max_runs
17,highest score in match 3,max_runs
18,maximum scorer of match 2,max_runs
19,who scored the maximum run in match 3 from DD,max_runs
20,top scorer for DD in match 3,max_runs
21,top score in DD match 4?,max_runs
22,highest scorer for DD in match 4,max_runs
23,who scored maximum runs in match 6,max_runs
24,who was the top scorer in match 6,max_runs
25,who was the leading run scorer in match 9,max_runs
26,who scored maximum runs in match 6,max_runs
27,who was the top scorer in match 6,max_runs
28,who scored the maximum run match 3 by DD,max_runs
29,minimum score in match 3,min_runs
30,lowest score in match 3,min_runs
31,minimum scorer of match 2,min_runs
32,who scored the minimum run match 3 by DD,min_runs
33,least scorer for DD in match 3,min_runs
34,lowest score in DD match 4?,min_runs
35,low scorer for DD in match 4,min_runs
36,total runs scored by sachin?,total_runs
37,aggregate runs by Abhay?,total_runs
38,how many runs has sachin made in ipl 1?,total_runs
39,Total runs made by sachin?,total_runs
40,What is the total runs made by RCB?,total_runs
41,what is the runs made by RCB in ipl 9?,total_runs
42,What is the sum total runs made by RCB,total_runs
43,who was 3rd highest scorer in match 3?,ith_highest_scorer
44,who was 3rd top scorer in match 4?,ith_highest_scorer
45,who was 2nd maximum run scorer in match 6?,ith_highest_scorer
46,rahul faced how many dot balls in match 1,dot_balls
47,rahul faced how many dots in match 1,dot_balls
48,how many fours did Kohli score in match 2?,fours
49,4s hit by Sachin in match 1?,fours
50,Fours hit by Abhay in match 5?,fours
51,how many boundaries are scored by rcb in match 6,fours
52,how many 4s are scored by rcb in match 3,fours
53,how many fours are scored by rcb in match 6,fours
62,how many boundaries are hit by kohli in this season?,fours
63,how many fours are scored by kohli in this season?,fours
64,how many 4s are scored by kohli in this season?,fours
71,how many fours are hit by kohli in this whole ipl?,fours
72,who scored most fours in entire ipl?,fours
75,who hit most 4s in entire ipl?,fours
81,who hit most 4s in whole ipl?,fours
82,who scored most boundaries in whole ipl?,fours
83,who hit most boundaries in whole ipl?,fours
84,who scored most fours in this season?,fours
85,who hit most fours in this season?,fours
86,who scored most 4s in this season?,fours
87,who hit most 4s in this season?,fours
88,who scored most boundaries in this season?,fours
89,who hit most boundaries in this season?,fours
90,how many 6s are scored by rcb in match 6,sixes
91,how many sixes are scored by rcb in match 6,sixes
92,how many 6s are hit by rcb in match 6,sixes
93,how many sixes are hit by rcb in match 6,sixes
94,what are total sixes of rcb in match 6,sixes
95,what are total 6s of rcb in match 5,sixes
96,how many sixes are hit by kohli in this season?,sixes
97,how many 6s are hit by kohli in this season?,sixes
98,how many sixes are scored by kohli in this season?,sixes
99,how many 6s are scored by kohli in this season?,sixes
100,how many 6s are hit by kohli in this entire ipl?,sixes
101,how many sixes are hit by kohli in this entire ipl?,sixes
102,how many 6s are hit by kohli in this whole ipl?,sixes
103,how many sixes are hit by kohli in this whole ipl?,sixes
104,who scored most sixes in entire ipl?,sixes
105,who hit most sixes in entire ipl?,sixes
106,who scored most 6s in entire ipl?,sixes
107,who hit most 6s in entire ipl?,sixes
